eOthello_game_id,winner,game_moves
374742,1,f5d6c4f4c5d3e6b6b5f6e3c3e2f2f3b3c2d1g4e1d2h4c1b1c6a5d7g3b4d8a4a6a3a2g5c7e7e8f7f8g6h7h6h5b8c8g8g7h8f1g1b2g2h1h2a1h3b7a7a8
371863,1,f5d6c4f4c5d3e6b6b5g6c6a6f3f2e3d2e2f1b4b3c3c2d1c1b1c7f6e7d7d8c8b8f8f7g7g5e8h8g8b2a8b7a7g2g3a5h1h7h6a2a4a1a3h3g4h5h4e1h2g1
371580,-1,f5d6c4b3b4f4f6f3e3g5g6f7c6e6e7c3g3d3h6d7c5b6d2c2a3d1c8d8c7b8a6g4h5e2f2b5c1g1f1b1h1b2f8e8a8a5a1e1a4g8h8a2g7g2h3a7b7h7h2h4
371620,-1,c4e3f5g6g5c5f4c3b4d3f6d6e6c6b5g3c7f7d7e7c2b6a5d8f8c8g8h6d2d1f2e2f1f3h3g4c1e8h5h4b8h2e1b3g7h8h7a8h1a3g2a7a4a6b7b2a1g1a2b1
366587,-1,c4e3f4g5e6d6f6c5d3f5g6f3b6e7d7c6b5g4h5c8c7h4h3g3e8h7h2c2d2c1f7a6a5a4b4a3b3a7e2b8d1a2b1c3b7g8f8d8b2a1h6h1e1f2a8f1g2g1g7
368544,1,f5f6e6f4e3c5g5f3g6e7g3f7d3g4c4b3c6d2d6f2h3h6h5e2b6d7b4a6c3a4c1e1c2h4h7g2a5b5f8d1h2b2a1b1d8g8e8c8a3a2a7b7c7g7h8a8b8h1g1f1
345672,-1,f5d6c3f4e6f6c5c4c7d7e3d3e7f7g6e8g3g5h6g4h3f3b4c6c8d8f8b5b3c2d1a4a5a3a2a6a7b6f2c1e2e1d2g2f1h1b1h5h4h2g1a1b7h7g7a8b8g8h8b2
362574,1,f5d6c4g5c6c3d7d3c2b3d2b4c5e3e2b5f4g4b6f3a6f6a5a4f2e7a3d8g3c7c8b8e6b2f7g8a1g6h4e1c1h3g2a2b1h5e8f8d1h2h6h7b7a8a7g7h8h1g1f1
362983,0,f5f6e6d6c5g4e3f4g5f3g6c6h3h5d3e2e7h6d7f7f8c8c4d8e8g8c7b8g3f2h4b4b5c2c3d2a3h2c1b3a4a6g7a5a7b2a2b6f1g2h1g1h7h8b7a8e1a1d1b1
361301,1,f5f6e6f4e3d6g5d3e7d7g6e8c4g4c5f7c6h4h5h6c8c7c3b6d8b8b5a4g8f3h3f2d2b4b3e2c2a3h7e1b2g3c1a1h2b1d1g2a5a6h1f8a8f1g1g7h8b7a7a2
362984,-1,c4e3f5e6d3c5d6c6e2g4b5b4f6f3d7c7f4e8a3b3b6g6f7g5c8e7d8f8h3h5h4h2g3f2h7c3c2d2c1a5d1g2g7a4h1h6h8g8a6g1a2a7b7a1f1e1b2b1b8a8
361581,1,f5d6c3d3c4f4c5b3d2c6c7e3f3e7d7e6b4c2f6a3e2d1d8f8b5f2e8a6f1b6g8f7g6c8b8g3e1g4g5h5h6b7h2g1a4a5a8a7a2g7h8h7h4h3b1h1c1a1b2g2
358337,-1,f5d6c3f4f6f3d3c4e3e2c6f2e6c2g4h4g3g5f1g6h3h5h6e7d7c5c7f7e8b6a6b7b4b3e1a4d2d1c1a7a8b5a5b2a1b1a2a3g2d8c8h1g1h2h7g7h8g8f8b8
357462,-1,f5d6c3d3c4f4f6g5e3f3g4e2d2h5e6f7c7e7g3f2h4c1d7c6h6g6f1e1h7c5f8e8b6b3d8h2d1g1b2c2b5a5a4b4a2a6a3b7a8c8h3h8g2a1b1h1a7b8g8g7
